,Wfgm,Wfga,WfgRatio,Wfgm3,Wfga3,Wfg3Ratio,Wftm,Wfta,WftRatio,Wor,Wdr,Wast,Wto,Wstl,Wblk
1101,25,53,47,5,14,36,18,24,75,8,22,11,15,12,1
1101,27,44,61,5,9,56,28,38,74,7,21,12,14,8,3
1101,23,45,51,7,17,41,19,24,79,10,24,17,17,2,0
1101,23,54,43,8,24,33,11,18,61,7,19,14,14,7,0
1101,24,45,53,10,20,50,11,16,69,6,23,15,18,7,2
1101,29,54,54,11,18,61,18,22,82,8,25,16,14,7,0
1101,22,58,38,9,25,36,18,21,86,14,29,11,15,7,3
1101,34,59,58,16,27,59,11,12,92,7,22,17,9,6,0
1101,34,56,61,7,14,50,8,9,89,5,13,20,6,8,2
1101,23,51,45,7,15,47,19,25,76,9,29,8,17,9,5
1101,21,55,38,4,9,44,16,19,84,9,26,9,16,7,3
1101,26,63,41,6,19,32,29,35,83,16,27,16,12,9,2
1101,28,54,52,3,13,23,16,20,80,7,20,13,9,7,2
1101,28,54,52,9,22,41,15,29,52,5,27,18,10,11,1
1101,28,57,49,9,20,45,14,20,70,7,24,15,11,9,5
1101,22,47,47,6,17,35,21,26,81,9,24,15,17,7,2
1101,27,50,54,8,19,42,29,34,85,7,21,16,9,8,1
1101,28,55,51,10,24,42,21,30,70,7,25,15,17,8,2
1102,25,50,50,6,16,38,20,26,77,8,27,10,12,10,4
1102,24,49,49,15,34,44,14,17,82,5,12,14,8,8,2
1102,35,59,59,10,22,45,6,11,55,9,30,25,13,5,5
1102,29,53,55,11,23,48,7,16,44,7,35,20,15,3,1
1102,22,54,41,5,23,22,16,21,76,11,19,13,12,14,2
1102,23,53,43,7,18,39,8,11,73,7,20,12,11,8,2
1102,24,46,52,10,17,59,20,23,87,4,23,15,14,8,2
1102,31,57,54,8,16,50,21,23,91,10,20,21,13,9,0
1102,36,56,64,10,18,56,8,12,67,12,23,27,11,11,2
1102,18,41,44,5,15,33,16,22,73,5,28,11,9,7,2
1102,21,42,50,5,17,29,15,19,79,4,31,13,15,5,1
1102,25,51,49,12,30,40,8,9,89,5,18,20,10,7,2
1102,29,56,52,8,23,35,5,6,83,11,24,19,16,4,3
1102,26,51,51,3,18,17,17,23,74,7,28,15,7,3,2
1102,31,55,56,15,31,48,12,17,71,6,20,23,6,5,1
1102,26,49,53,10,15,67,17,26,65,10,30,11,18,8,4
1102,19,45,42,9,21,43,20,26,77,11,20,16,15,5,6
1102,26,48,54,11,23,48,31,39,79,6,23,20,7,4,2
1102,18,62,29,6,27,22,20,25,80,15,31,12,15,12,4
1102,24,47,51,6,16,38,19,24,79,8,22,14,14,4,3
1102,27,52,52,8,18,44,13,19,68,8,24,14,10,4,1
1102,25,44,57,12,26,46,15,19,79,6,28,19,23,7,5
1102,19,58,33,7,22,32,6,10,60,13,20,13,13,8,6
1102,17,45,38,5,22,23,16,23,70,8,29,6,15,5,1
1102,22,52,42,5,20,25,15,23,65,11,29,12,12,4,2
1102,24,43,56,9,20,45,11,14,79,12,22,17,18,3,2
1102,20,53,38,5,24,21,14,25,56,23,24,13,9,7,3
1102,27,50,54,9,25,36,14,17,82,9,22,21,13,6,4
1102,26,43,60,11,21,52,17,24,71,10,21,19,14,9,0
1102,22,45,49,10,23,43,12,18,67,1,30,17,10,1,8
1102,33,54,61,8,17,47,4,8,50,5,27,23,11,6,1
1102,19,45,42,7,16,44,21,25,84,9,24,13,10,6,1
1102,19,47,40,7,26,27,8,14,57,6,22,16,8,8,3
1102,28,49,57,10,20,50,7,8,88,6,26,18,9,7,2
1102,25,59,42,12,25,48,14,21,67,11,16,24,5,7,1
1102,23,43,53,6,12,50,23,33,70,7,22,18,14,5,3
1102,24,50,48,8,21,38,12,16,75,7,18,16,11,9,1
1102,29,49,59,3,12,25,19,32,59,5,29,19,13,8,3
1102,23,60,38,3,21,14,16,28,57,12,28,15,11,5,1
1102,25,66,38,3,12,25,11,13,85,17,30,16,14,12,3
1102,24,65,37,8,27,30,10,12,83,6,23,14,7,6,1
1102,32,58,55,4,13,31,29,45,64,10,37,25,12,6,1
1102,20,50,40,4,12,33,17,23,74,14,23,12,18,6,0
1102,24,48,50,8,19,42,11,17,65,5,25,14,15,3,2
1102,17,49,35,5,19,26,25,30,83,10,27,12,16,9,1
1102,23,44,52,4,13,31,20,30,67,6,23,11,10,8,1
1102,19,44,43,7,21,33,16,22,73,6,33,12,19,6,3
1102,24,60,40,8,19,42,23,29,79,12,28,11,13,4,3
1102,27,56,48,8,24,33,14,24,58,6,33,18,14,10,2
1103,26,53,49,12,24,50,18,23,78,8,22,17,12,10,5
1103,27,48,56,8,16,50,23,31,74,10,25,14,10,7,9
1103,30,57,53,7,20,35,15,24,63,8,18,15,16,9,9
1103,25,58,43,11,34,32,15,22,68,19,31,19,25,9,7
1103,33,62,53,9,24,38,12,16,75,14,29,24,14,7,2
1103,30,60,50,6,22,27,17,22,77,14,25,18,11,6,7
1103,26,49,53,2,13,15,8,11,73,6,16,12,10,5,5
1103,34,74,46,9,33,27,14,25,56,20,41,22,13,8,8
1103,24,59,41,7,20,35,10,16,63,16,25,15,11,8,3
1103,22,46,48,5,16,31,19,30,63,10,29,10,14,5,6
1103,21,51,41,6,18,33,23,27,85,10,22,13,13,6,3
1103,26,70,37,7,25,28,12,26,46,26,25,12,14,8,4
1103,28,63,44,10,23,43,5,9,56,16,27,15,13,5,9
1103,23,52,44,7,17,41,15,20,75,7,23,13,12,6,6
1103,28,58,48,7,20,35,5,9,56,11,29,17,12,7,2
1103,32,57,56,6,16,38,16,23,70,11,29,19,12,6,4
1103,26,53,49,10,27,37,6,12,50,13,20,22,16,4,3
